Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
LD9RVFY7,journalArticle,2022,"Registre, J. F. R.; Danthine, É.; Ouellet, A. -M.; Cachat-Rosset, G.; Saba, T.",Effet du télétravail sur la santé psychologique et la performance des travailleurs durant la pandémie de la Covid-19,Psychologie du Travail et des Organisations,,1420-2530,10.1016/j.pto.2022.03.005,https://www.sciencedirect.com/science/article/pii/S1420253022000279,"Résumé L’objectif de cette étude est d’examiner comment le recours généralisé au télétravail durant la pandémie de la Covid-19 a pu créer un contexte de travail spécifique influençant la santé psychologique et la performance des employés. Les résultats des analyses menées sur un échantillon de 3771 télétravailleurs canadiens ont révélé que le travail à distance a engendré des demandes additionnelles telles que l’interdépendance des tâches et l’isolement professionnel. Ces demandes ont eu des effets négatifs sur la performance en télétravail en augmentant la fréquence du stress perçu. Toutefois, la présence de ressources telles que le soutien organisationnel semble jouer un rôle tampon en modérant l’effet direct de l’isolement professionnel sur la performance en télétravail. The aim of this study was to examine how the widespread use of telework during the COVID-19 pandemic may have created a specific work context influencing employees’ psychological health and performance. Results of analyses conducted on a sample of 3771 Canadian teleworkers revealed that telework created additional demands such as task interdependence and professional isolation. These demands had negative effects on telework performance by increasing the frequency of perceived stress. However, the presence of resources such as organizational support appeared to play a buffering role in moderating the direct effect of professional isolation on telecommuting performance.",2022-09-01,2023-04-06 13:40:21,2023-04-06 13:40:21,2023-04-06 13:40:21,151-165,,3,28,,Psychologie du Travail et des Organisations,,,,,,,,fr,,,,,ScienceDirect,,,,C:\Users\Grant\Zotero\storage\G2CGQMND\Registre et al. - 2022 - Effet du télétravail sur la santé psychologique et.pdf; C:\Users\Grant\Zotero\storage\EN598AED\S1420253022000279.html,,,Covid-19; COVID-19; Demandes et ressources du travail; Job demand-resources; Perceived stress; Performance; Stress perçu; Télétravail; Telework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFAQBE8M,journalArticle,2022,"Haeck, Catherine; Lawson, Nicholas; Poirier, Krystel",Estimating consumer preferences for different beverages using the BLP approach,Economics & Human Biology,,1570-677X,10.1016/j.ehb.2022.101138,https://www.sciencedirect.com/science/article/pii/S1570677X2200034X,"The overconsumption of sugar is a significant problem in many jurisdictions, and one possible method to remedy this problem is the taxation of sugar-sweetened beverages (SSBs). To be able to implement an optimal tax, it is important to know the preferences and price sensitivity of consumers. This article therefore estimates the price elasticity of demand for different beverages in Quebec, using the Berry, Levinsohn and Pakes (BLP) random parameter logistic demand model, combined with Nielsen data from 2010 to 2016 and the 2016 Canadian Census. The results suggest that the average consumer prefers high-calorie beverages containing fruits and vegetables, and the estimated price elasticities are between −4.40 (energy drinks) and −1.59 (regular soft drinks). As a result, consumers of energy drinks appear to reduce their consumption the most in the face of rising prices, whereas consumers of soft drinks will decrease their consumption the least. However, at a general level, the implementation of a tax on SSBs in Quebec should generate a significant reduction in consumption.",2022-08-01,2023-04-06 13:40:05,2023-04-06 13:40:05,2023-04-06 13:40:05,101138,,,46,,Economics & Human Biology,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Grant\Zotero\storage\K86BB6ZL\Haeck et al. - 2022 - Estimating consumer preferences for different beve.pdf; C:\Users\Grant\Zotero\storage\YEZ45C8P\S1570677X2200034X.html,,,BLP; Price elasticity of demand; Sugar-sweetened beverages; Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCF63LP2,journalArticle,2022,"Mah, Sarah M.; Herrmann, Thomas; Sanmartin, Claudia; Riva, Mylène; Dasgupta, Kaberi; Ross, Nancy A.",Does living near hospital obscure the association between active living environments and hospitalization?,Health & Place,,1353-8292,10.1016/j.healthplace.2022.102767,https://www.sciencedirect.com/science/article/pii/S1353829222000284,"Hospitals tend to be among the destinations that make densely populated, well-connected neighbourhoods more conducive to active living. In this study, we determined whether living near a hospital distorts the association between living in favourable ALEs and hospitalization for physical inactivity-related cardiometabolic diseases. We used a record linkage of 442,345 respondents of the Canadian Community Health Survey and their hospitalization records for cardiometabolic disease. We then assessed respondents’ neighbourhoods using the Canadian Active Living Environments measure (Can-ALE), a measure based on ≥3-way intersection density, residential density, and points of interest. We then calculated the distance in kilometers between the centroids of respondents’ assigned dissemination areas and the nearest user-contributed location for hospitals from OpenStreetMap. We monitored changes in estimates for the association between ALEs and odds of cardiometabolic disease hospitalization using a series of logistic regressions with indicator variables for distances to hospital of 500 meters to 10 kilometers. We found that living between 500 meters and six kilometers of a hospital and was associated with modestly higher odds of cardiometabolic hospitalization (OR 1.10, 95% CI 1.02 to 1.18 for 500 meters; OR 1.05, 95% CI 1.01 to 1.09 for six kilometers). Living in more favourable ALEs was associated with lower odds of hospitalization (OR 0.79, 95% CI 0.68 to 0.91; comparing the most favourable to least favourable ALEs). Effect estimates between more favourable ALEs and lower odds of hospitalization were marginally strengthened when living within 2-6 kilometers to a hospital was accounted for. This study demonstrates the importance of disentangling interrelated geographic factors and underlines the potential for built environments to elicit reductions in health care.",2022-05-01,2023-04-06 13:39:36,2023-04-06 13:39:36,2023-04-06 13:39:36,102767,,,75,,Health & Place,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Grant\Zotero\storage\8JM2HIWY\Mah et al. - 2022 - Does living near hospital obscure the association .pdf; C:\Users\Grant\Zotero\storage\CQNX3CGX\S1353829222000284.html,,,Active living environments; Built environment; Distance; Health care access; Hospitalization; Neighbourhoods; Walkability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P67TEXA8,journalArticle,2021,"Atoui, Sarah; Chevance, Guillaume; Romain, Ahmed-Jérôme; Kingsbury, Célia; Lachance, Jean-Philippe; Bernard, Paquito",Daily associations between sleep and physical activity: A systematic review and meta-analysis,Sleep Medicine Reviews,,1087-0792,10.1016/j.smrv.2021.101426,https://www.sciencedirect.com/science/article/pii/S1087079221000113,"The day-to-day variations of sleep and physical activity are associated with various health outcomes in adults, and previous studies suggested a bidirectional association between these behaviors. The daily associations between sleep and physical activity have been examined in observational or interventional contexts. The primary goal of the current systematic review and meta-analysis was to summarize existing evidence about daily associations between sleep and physical activity outcomes at inter- and intra-individual level in adults. A systematic search of records in eight databases from inception to July 2019 identified 33 peer-reviewed empirical publications that examined daily sleep–physical activity association in adults. The qualitative and quantitative analyses of included studies did not support a bidirectional daily association between sleep outcomes and physical activity. Multilevel meta-analyses showed that three sleep parameters were associated with physical activity the following day: sleep quality, sleep efficiency, and wake after sleep onset. However, the associations were small, and varied in terms of direction and level of variability (e.g., inter- or intra-individual). Daytime physical activity was associated with lower total sleep time the following night at an inter-person level with a small effect size. From a clinical perspective, care providers should monitor the effects of better sleep promotion on physical activity behaviors in their patients. Future studies should examine sleep and physical activity during a longer period and perform additional sophisticated statistical analyses. Systematic review registration https://osf.io/w6uy5/.",2021-06-01,2023-04-06 13:39:24,2023-04-06 13:39:24,2023-04-06 13:39:24,101426,,,57,,Sleep Medicine Reviews,Daily associations between sleep and physical activity,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Grant\Zotero\storage\26LMKRG6\Atoui et al. - 2021 - Daily associations between sleep and physical acti.pdf; C:\Users\Grant\Zotero\storage\AX2RIKYC\S1087079221000113.html,,,Ecological momentary assessment; Exercise; Insomnia; Physical activity; Sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTCH3ES2,journalArticle,2022,"Garnier, Camille; Trépanier, Martin; Morency, Catherine",Criteria to prioritize opportunities to shift paratransit trips to regular transit network – Montreal case study,Journal of Transport & Health,,2214-1405,10.1016/j.jth.2022.101338,https://www.sciencedirect.com/science/article/pii/S221414052200010X,"Introduction Mobility is an important tool for the social inclusion of PWDs (people with disabilities). Unfortunately, the number of paratransit users, in most cities, is rapidly growing while resources remain limited. Paratransit is one of the rare public transport services that are adapted to the needs of users with disabilities. Still, it may be possible to shift some paratransit trips to the RTN (regular transit network). The aim of this paper is to develop and test criteria to identify paratransit trips that could be shifted to the RTN with the best potential of success. Methods Four criteria are proposed to identify these trips. 1) The autonomy level of paratransit users: they must be able to use the RTN by themselves. 2) The universal design of each metro station, bus stop and vehicle. 3) The spatial location of both origin and destination of the trips and their proximity to the RTN, to avoid long walking/rolling distances. 4) The frequency of the trips: how many times over a year does a user performs a specific trip. We propose a method to evaluate these criteria. Results These four criteria allow prioritizing paratransit trips that could be shifted the RTN with the most potential of success. With these criteria, the safety and the satisfaction of users could be maintained while reducing operation costs of paratransit services. The method has been applied to the paratransit trips of the STM (Montreal Transit Authority) and 15% (400,000 trips) of them could be shifted to the RTN in short term. Conclusion This research is a step forward to shift paratransit trips to RTN. Still, the proposed criteria need to be refined and more criteria could be added to improve the prioritization of most promising paratransit trips. Nevertheless, the application of this methodology can assist stakeholders in making choices about the mobility services for PWDs.",2022-03-01,2023-04-06 13:39:02,2023-04-06 13:39:02,2023-04-06 13:39:02,101338,,,24,,Journal of Transport & Health,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Grant\Zotero\storage\R3UA4M5D\Garnier et al. - 2022 - Criteria to prioritize opportunities to shift para.pdf; C:\Users\Grant\Zotero\storage\EK7PWPVU\S221414052200010X.html,,,Paratransit; People with disabilities; Transit services; Trips transferability; Universal design; Walkability/wheelability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS7BZRWE,journalArticle,2022,"Zhang, Xian",Cohort Size and Youth Earnings: Evidence from Ontario,Canadian Public Policy,,1911-9917,10.3138/cpp.2020-142,https://muse.jhu.edu/pub/50/article/863973,"Cet article analyse le changement de politique en Ontario qui a réduit la durée du cycle secondaire de cinq à quatre ans. Comme résultat de cette réforme éducative, nous avons assisté à la création d’une double cohorte : la dernière cohorte qui a été scolarisée dans l’ancien régime et la première qui a étudié selon la nouvelle structure. Bien qu’elles aient commencé l’école à des moments différents, les deux cohortes ont fini le secondaire ensemble en 2003. Quatre ans plus tard, l’Ontario a connu une augmentation de 28% des nouveaux diplômés universitaires. En comparant l’écart salarial avant et après cette réforme entre les nouveaux diplômés d’une part, et les travailleurs chevronnés et diplômés d’autre part, en Ontario et ailleurs au Canada, nous constatons l’impact du choc d’offre excédentaire de main-d’oeuvre sur les revenus. Une estimation en triples différences utilisant les données de l’Enquête sur la population active (EPA) du Canada montre que le choc d’offre de main d’oeuvre a fait baisser le salaire horaire de 7,6% chez les nouveaux diplômés universitaires, ce qui corrobore le résultat obtenu par les données du Recensement du Canada. Nous constatons aussi que le choc d’offre de main-d’oeuvre a fait baisser la part de diplômés universitaires qui ont trouvé un emploi à temps plein au cours de la première année de leur carrière. Par ailleurs, nous remarquons une augmentation de la proportion des nouveaux diplômés universitaires occupant un emploi dans les petites entreprises dans un créneau et un secteur qui les rémunèrent mal. Finalement, nous constatons l’effet négatif durable sur les salaires qui peut persister au moins 10 ans au-delà de la date de l’obtention du diplôme.",2022,2023-04-06 13:38:39,2023-04-06 13:38:39,2023-04-06 13:38:39,267-284,,2,48,,,Cohort Size and Youth Earnings,,,,,,,,,,,,Project MUSE,,Publisher: University of Toronto Press,,C:\Users\Grant\Zotero\storage\KEI2VS48\Zhang - 2022 - Cohort Size and Youth Earnings Evidence from Onta.pdf,,,choc d’offre de main d’oeuvre; cohort crowding; cohort size; condition d’accès au marché du travail; double cohorte de l’Ontario; labour market entrance condition; labour supply shock; Ontario double cohort; surpeuplement des cohortes; taille de la cohorte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S97PKT2P,journalArticle,2021,"Haemmerli, Guillaume; Bélanger, Danièle; Fleury, Charles",Care Needs and Migration: Household Determinants of Internal Labour Migration in Vietnam,Journal of Comparative Family Studies,,0047-2328,10.3138/jcfs.52.1.003,https://utpjournals.press/doi/10.3138/jcfs.52.1.003,"Migration stands as a livelihood strategy for households in Southeast Asia. Recent literature calls for the study of migration at the household level and for the consideration of care needs among the determinants of migration. Based on the case of Vietnam, this article contributes to past research by providing a longitudinal analysis of how household care needs may influence the use of internal migration as a livelihood strategy. Using a household life-course perspective that recognizes how family care needs evolve over time, this article tests if care needs influence the propensity for a household to have one or more new member-out-migrants over time. We operationalize care needs through the household dependency ratio, health care and education expenditures. Multivariate analyses are based on longitudinal data from three passages of the Vietnam Living Standards Survey of 2010, 2012, and 2014. Results indicate that households needing to cover costs of children’s education are more likely to engage in migration than those with health care needs. These results reinforce the idea that migration requires certain conditions to occur and that the immediate care needs that require co-presence tend to prevent, rather than incite, migration at the household level. Overall, the analysis indicates that evolving care needs and household members’ capacities to provide for modify the way households organize and deploy their workforce over space and time.",2021-04,2023-04-06 13:38:18,2023-04-06 13:38:18,2023-04-06 13:38:18,4-26,,1,52,,,Care Needs and Migration,,,,,,,,,,,,utpjournals.press (Atypon),,Publisher: University of Toronto Press,,,,,Asia; Asie; besoins en soins; care needs; household; internal migration; livelihoods; ménage; migration interne; moyens de subsistance; Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU7EJZNK,journalArticle,2022,"Stevenson, Andrew C.; Colley, Rachel C.; Dasgupta, Kaberi; Minaker, Leia M.; Riva, Mylene; Widener, Michael J.; Ross, Nancy A.",Associations between neighbourhood fast-food environments and hypertension in Canadian adults.,International Journal of Population Data Science,,2399-4908,10.23889/ijpds.v7i3.2082,https://ijpds.org/article/view/2082,"ObjectivesHypertension is a leading cause of cardiovascular disease and premature death. Neighbourhoods characterized by a high proportion of fast-food outlets may contribute to hypertension in residents; however, limited research has explored these associations. The objectives of this study were to assess associations between neighbourhood fast-food environments, measured and self-reported hypertension. ApproachWe used data from 10,700 adults who participated in six cycles of the Canadian Health Measures Survey (CHMS). Measured hypertension was defined as having an average systolic blood pressure (BP) of ≥140, a diastolic BP&nbsp; ≥90 mm Hg or being on BP lowering medication. Participants were also asked if they had been diagnosed with high BP or if they take BP lowering medication (i.e., self-reported hypertension). We characterized the fast-food environment of each participant’s neighbourhood using the Canadian Food Environment Dataset (Can-FED). We considered the proportion of fast-food outlets relative to fast-food outlets and full-service restaurants as a continuous variable. ResultsThe mean proportion of fast-food outlets was 23.3% (SD 26.8%). A one standard deviation (SD) increase in the proportion to fast-food outlets was associated with higher odds of measured hypertension in the full sample (OR=1.17, 95% CI 1.05 to 1.31) and in sex-specific models (women: OR=1.14, 95% CI 1.01 to 1.29; and men: OR=1.21, 95% CI 1.03 to 1.43). A one standard deviation (SD) increase in the proportion to fast-food outlets was associated with higher odds of self-reported hypertension in the full sample (OR=1.13, 95% CI 1.02 to 1.24); however, associations were inconclusive in sex-specific models (women: OR=1.11, 95% CI 0.99 to 1.26; and men: OR=1.14, 95% CI 0.99 to 1.33). ConclusionBy linking neighbourhood food environment measures that were created from an administrative data source (the Statistics Canada Business Register) to individual-level data from the CHMS, we were able to demonstrate that reducing the proportion of fast-food outlets in neighbourhoods may reduce rates of hypertension and support individually targeted interventions.",2022-08-25,2023-04-06 13:37:07,2023-04-06 13:37:07,2023-04-06 13:37:07,,,3,7,,,,,,,,,,en,"Copyright (c) 2022 Andrew C. Stevenson, Rachel C. Colley, Kaberi Dasgupta, Leia M. Minaker, Mylene Riva, Michael J. Widener, Nancy A. Ross",,,,ijpds.org,,Number: 3,,C:\Users\Grant\Zotero\storage\N859EQ8G\Stevenson et al. - 2022 - Associations between neighbourhood fast-food envir.pdf,,,Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z5KIGUH8,journalArticle,2022,"Viscogliosi, Chantal; Asselin, Hugo; Trottier, Lise; D’Amours, Monia; Levasseur, Mélanie",Association between intergenerational solidarity involving elders and mental health of Indigenous people living off reserve,BMC Public Health,,1471-2458,10.1186/s12889-022-12887-6,https://doi.org/10.1186/s12889-022-12887-6,"Indigenous elders play an important role in transmitting knowledge, values and practices, hence fostering identity-building through intergenerational solidarity. We aimed to verify the association between intergenerational solidarity involving Indigenous elders and mental health of Indigenous people living off reserve.",2022-03-16,2023-04-06 13:36:47,2023-04-06 13:36:47,2023-04-06 13:36:47,512,,1,22,,BMC Public Health,,,,,,,,,,,,,BioMed Central,,,,C:\Users\Grant\Zotero\storage\GDYT27TW\Viscogliosi et al. - 2022 - Association between intergenerational solidarity i.pdf; C:\Users\Grant\Zotero\storage\H445RFD6\s12889-022-12887-6.html,,,Aged (MeSH); Child health (MeSH)/adolescent health (MeSH); Indigenous health services (MeSH); Intergenerational relations (MeSH); Mental health (MeSH); Population health (MeSH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2I3HJWIR,journalArticle,2022,"Berman-Rosa, Melissa; Logan, James; Ghazawi, Feras M.; Le, Michelle; Conte, Santina; Netchiporouk, Elena; Mukovozov, Ilya M.; Cyr, Janelle; Mourad, Ahmed; Miller, Wilson H.; Claveau, Joël; Salopek, Thomas G.; Gniadecki, Robert; Sasseville, Denis; Rahme, Elham; Lagacé, François; Litvinov, Ivan V.",Analysis of Geographic and Environmental Factors and Their Association with Cutaneous Melanoma Incidence in Canada,"Dermatology (Basel, Switzerland)",,1018-8665,10.1159/000524949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9677843/,"Background Over 90% of skin cancers including cutaneous melanoma (CM) are related directly to sun exposure. Despite extensive knowledge on ultraviolet radiation's (UVR) detrimental impact, many still fail to implement sun protection/sun avoidance. Human behavior, attitudes, and cultural norms of individuals and communities heavily depend on the surrounding climate/environment. In many instances, the climate shapes the culture/norms of the society. Canada has vast geographic/environmental differences. Methods In the current ecological study, we sought to examine the relationship between various geographic and environmental factors and the distribution of CM incidence by Forward Sortation Area (FSA) postal code across Canada. CM incidence data were extracted from the Canadian Cancer Registry, while environmental data were extracted from the Canadian Urban Environmental Health Research Consortium (greenspace, as measured by the normalized difference vegetation index; annual highest temperature; absolute number and average length of yearly heat events; annual total precipitation [rain and snow]; absolute number and average length of events with precipitation [rain and snow]; and summer UVR index). The above geographic/environmental data by FSA were correlated with the respective CM incidence employing negative binomial regression model. Results Our analysis highlights that increases in annual average temperature, summer UVR, and greenspace were associated with higher expected incidence of CM cases, while higher number of annual heat events together with highest annual temperature and higher average number of annual rain events were associated with a decrease in CM incidence rate. This study also highlights regional variation in environmental CM risk factors in Canada. Conclusions This national population-based study presents clinically relevant conclusions on weather/geographic variations associated with CM incidence in Canada and will help refine targeted CM prevention campaigns by understanding unique weather/geographic variations in high-risk regions.",2022-06-09,2023-04-06 13:36:34,2023-04-06 13:36:34,2023-04-06 13:36:34,1006-1017,,6,238,,Dermatology,,,,,,,,,,,,,PubMed Central,,PMID: 35679838 PMCID: PMC9677843,,C:\Users\Grant\Zotero\storage\TT883EIQ\Berman-Rosa et al. - 2022 - Analysis of Geographic and Environmental Factors a.pdf; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9677843/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
